"","log2FC.HFD","log2FC.XN"
"Ubr2",-0.519197712,NA
"Trem2",1.373716835,NA
"Abcg1",0.885492109,NA
"Prkd3",-0.502083638,NA
"Pdpk1",-0.443519544,NA
"Nudt12",-0.844595961,NA
"Pkdcc",0.950092777,NA
"Zfp871",-0.768769014,NA
"Tapbp",0.836062544,NA
"Stard4",-0.836514431,NA
"Ap3s1",0.45757587,NA
"Cep192",1.135009255,NA
"Cd74",1.106484577,NA
"Ms4a7",1.407206085,NA
"Lpxn",0.912995181,NA
"Slc15a3",0.966683954,NA
"Aldh1a7",0.630747388,NA
"Kif20b",1.201284308,NA
"Frmd8",0.65810516,NA
"Vegfb",0.917906791,NA
"Acsl5",0.643924012,NA
"Hells",1.701857375,NA
"Cyp2c55",4.652529859,NA
"Pik3ap1",0.523602071,NA
"Fundc1",0.597473102,NA
"Gk",-1.017355118,NA
"Maged1",0.688302661,NA
"Fasn",0.959900336,NA
"Slc16a3",1.250271043,NA
"Csnk1d",0.709444738,NA
"Hexa",0.596112834,NA
"Fyco1",-1.113749701,NA
"Maged2",0.95750672,NA
"Dgka",-0.875378234,NA
"Pias2",-0.847314639,NA
"Cdhr5",-0.951116128,NA
"Taldo1",1.039266196,NA
"Gusb",0.802617283,NA
"Dock9",-0.571889375,NA
"Tk1",-0.786440393,NA
"Homer2",-1.746071799,NA
"Cps1",-0.83349058,NA
"Cflar",-0.462543464,NA
"Col5a2",1.286177215,NA
"Nabp1",0.870128722,NA
"Ogfrl1",-0.78793353,NA
"Cyp27a1",-0.854930892,NA
"Itm2c",0.808264814,NA
"Gpr35",1.084939044,NA
"Gpr39",0.749155561,NA
"Acmsd",0.958613124,NA
"F13b",-0.570865338,NA
"Dbi",0.744515176,NA
"Ahctf1",-0.703827461,NA
"Ifi211",-1.179618741,NA
"Tagln2",0.962126943,NA
"Atp1b1",-0.494262494,NA
"Sec16b",-0.773494774,NA
"Spata17",-1.155554428,NA
"Atf6",-0.492112422,NA
"Nuf2",3.468476474,NA
"Fmo3",-0.758847661,NA
"Cenpl",-1.314427497,NA
"Gpd2",0.510129375,NA
"Abca2",-0.667114786,NA
"Frzb",1.349739965,NA
"Hat1",0.41930203,NA
"Dhrs9",2.301080349,NA
"Slc43a1",-2.690386317,NA
"Mkks",-0.845988276,NA
"Mtch2",0.338092777,NA
"Rad51",1.362012189,NA
"Smox",1.283429934,NA
"Slc23a2",-0.874066642,NA
"Crls1",-0.651269375,NA
"Nop56",0.784871247,NA
"Cpxm1",1.317937768,NA
"Tpx2",1.339395671,NA
"Atp9a",0.528958692,NA
"Pcmtd2",-1.440309364,NA
"Eif6",0.916018874,NA
"Src",1.404809578,NA
"Ccna2",1.559937536,NA
"Slc7a11",1.587748771,NA
"Pfn2",1.098279278,NA
"Sike1",-0.529249779,NA
"Lrrc39",0.954160097,NA
"Vcam1",1.143731142,NA
"Asic5",-0.967079933,NA
"Cks1b",1.225159561,NA
"Gclm",-0.792145666,NA
"Eif4e",1.124976406,NA
"Depdc1a",0.686713564,NA
"Asph",-0.777312811,NA
"Ndufaf4",-1.886540991,NA
"Npr2",-0.699456762,NA
"Reck",-0.884617395,NA
"Gne",-0.753294373,NA
"Mier1",-1.512132809,NA
"Dyrk2",-0.818994621,NA
"Ctps",1.048812138,NA
"Kif2c",1.205303955,NA
"Plk3",0.863710964,NA
"Pdzk1ip1",1.353208285,NA
"Capzb",0.507197803,NA
"Pef1",0.469136803,NA
"Stmn1",1.188486811,NA
"Ago3",-0.636662216,NA
"Csf3r",1.273340839,NA
"Sesn2",0.613255517,NA
"Pgd",1.313900737,NA
"Mapre3",0.753828423,NA
"Ppargc1a",-0.851940259,NA
"Klb",-0.831006746,NA
"Slc30a9",0.346407448,NA
"Fam69a",-0.87313912,NA
"Brdt",-1.080331873,NA
"P2rx4",0.678682185,NA
"Foxp2",-1.040978035,NA
"Mmab",-0.555978481,NA
"Actb",0.438709497,NA
"Tspan12",-0.510027348,NA
"Pot1a",-0.432470515,NA
"Mcm7",0.691733167,NA
"Exoc4",0.703108912,NA
"Osbpl3",1.483409436,NA
"Luc7l2",-0.671734274,NA
"Cbx3",-1.023166541,NA
"Mad2l1",1.496536041,NA
"Hpgds",1.273896842,NA
"Nup210",-0.816559377,NA
"Tmem43",1.281532204,NA
"Emp1",1.176961827,NA
"Plbd1",-0.451177477,NA
"Rad18",0.864361351,NA
"Cidec",1.593092672,NA
"Atg7",0.687087106,NA
"Cand2",1.516398418,NA
"Ing4",0.90286859,NA
"Tarsl2",-0.484418153,NA
"Idh2",0.702040845,NA
"Mesp1",0.794388741,NA
"Psmd8",0.552595582,NA
"Mfge8",0.837840242,NA
"Ddias",1.217835279,NA
"Itgax",1.969739441,NA
"Pycard",1.098130172,NA
"Bag3",0.674520396,NA
"Acadsb",-0.588375423,NA
"Eri2",-1.626499106,NA
"Lhpp",0.93861404,NA
"Mki67",1.323217724,NA
"Cttn",0.790375357,NA
"Magix",-0.955210625,NA
"Otc",-0.683998334,NA
"Magt1",-0.591414362,NA
"Chic1",-1.001453336,NA
"G6pdx",0.87356287,NA
"Proz",-0.345568481,NA
"Slc25a15",-0.504904838,NA
"Col4a2",0.875056075,NA
"Rbpms",0.658690638,NA
"Slc7a2",-0.751262015,NA
"Galnt7",1.136349394,NA
"Irf2",-0.675746152,NA
"Slc25a4",1.090271521,NA
"Arl2bp",0.957465874,NA
"Kifc3",0.996350161,NA
"Cotl1",1.085295597,NA
"Mast3",-1.253351134,NA
"Pde4c",-1.402665349,NA
"Map3k21",-0.84353835,NA
"Ces2e",0.606932056,NA
"Nfatc3",-0.65938358,NA
"4931406C07Rik",0.543196413,NA
"St3gal4",0.504765932,NA
"Acat1",-0.712153743,NA
"Tagln",1.814499696,NA
"Chek1",1.475092745,NA
"Lysmd2",1.178425405,NA
"Lipc",-0.898085192,NA
"Ccnb2",1.839691011,NA
"Ireb2",-0.467878273,NA
"Pkm",0.83754762,NA
"Cyp1a1",1.148163978,NA
"Tspan3",0.586915767,NA
"Gsta4",1.214796804,NA
"Gclc",0.748877679,NA
"Adamts7",-1.531771503,NA
"Syncrip",-0.560409737,NA
"Crtap",0.984064344,NA
"Tgfbr2",0.992505481,NA
"Dclk3",-1.093612395,NA
"Slco2a1",-1.139829275,NA
"Ip6k1",-0.607621318,NA
"Fhl3",1.301753398,NA
"Malt1",-0.907562916,NA
"Kank1",-0.338083855,NA
"Mansc1",1.006348276,NA
"Snx33",-0.500689789,NA
"Tpcn1",-0.623268159,NA
"Slc8b1",-0.861891706,NA
"Gng11",0.761758329,NA
"Arap1",-0.509309757,NA
"Ppp1r9a",-0.922075364,NA
"Fbxo21",-0.852634636,NA
"Atg12",0.464175052,NA
"Rasgrp2",1.151936268,NA
"Arhgef5",0.582305069,NA
"Igf2bp2",1.020840735,NA
"Gabrb3",-1.662170196,NA
"Smyd5",0.798154161,NA
"Mks1",-1.335680728,NA
"Tspan8",1.139586022,NA
"Chchd4",0.51478555,NA
"Loxl2",1.030129119,NA
"Fhod3",-1.039230186,NA
"Lif",1.36500765,NA
"Tmem30b",-0.45263248,NA
"Ifit1",-0.808904365,NA
"Zfp395",-0.738528146,NA
"Exph5",-0.802142506,NA
"Ppm1h",0.955368291,NA
"Mfrp",-1.640623606,NA
"Colgalt1",0.395281609,NA
"Plvap",0.654854553,NA
"Vat1",0.913912069,NA
"Arl6ip5",0.581835161,NA
"Impg2",-1.0689205,NA
"Hacd2",0.518447317,NA
"Fignl1",1.288192919,NA
"Tgfbi",0.622044213,NA
"Prkx",0.731954494,NA
"Krt20",1.050654883,NA
"Cog5",-0.575379333,NA
"Apex1",1.044395237,NA
"1810046K07Rik",-2.153834002,NA
"Igfbp7",0.728685346,NA
"Lrrn3",-1.06552765,NA
"Srp72",-1.008490341,NA
"Slc18a1",1.028509209,NA
"Ppp6r2",-0.381024664,NA
"Ttyh3",0.879201672,NA
"Fgf1",-0.69686152,NA
"H2-Aa",1.045606752,NA
"Tubb4b",0.917400276,NA
"Arhgef26",-0.689717558,NA
"Unc93b1",0.707148014,NA
"Elac1",-0.688211672,NA
"Tmem71",0.94368817,NA
"Lrfn3",0.827477855,NA
"Asap3",-0.904111892,NA
"Ss18",1.651284418,NA
"Scd1",1.030278291,NA
"Setd7",0.959438313,NA
"Il22ra1",-1.412575999,NA
"Fgf2",-1.575008081,NA
"Hook3",-0.568566323,NA
"Tacc3",1.263254204,NA
"Bag4",-0.592619126,NA
"Letm2",-2.070011811,NA
"Spon2",1.385027959,NA
"Dtl",1.595666217,NA
"Cd81",0.625222742,NA
"Fam13a",-0.834424335,NA
"Ckap2",1.530524663,NA
"N4bp2",-0.882269982,NA
"Ano10",0.957390937,NA
"A4gnt",1.646792414,NA
"Dnajc22",-0.595671683,NA
"Smim3",1.129809054,NA
"Cnbd2",1.015083876,NA
"Atg5",-0.533300453,NA
"Ttc39b",-0.830372408,NA
"Pigu",0.552882238,NA
"Pmepa1",0.775990297,NA
"Foxq1",-1.22715179,NA
"Cdc40",-0.394407919,NA
"Srd5a2",-0.945771151,NA
"Akr1d1",-0.817312655,NA
"Ctss",0.873331921,NA
"Pkhd1l1",-1.147362661,NA
"Ephx1",1.2000297,NA
"Stap2",0.651811971,NA
"Sccpdh",0.930005948,NA
"Cables2",-0.950575639,NA
"Anpep",0.580744264,NA
"Lsm14b",-0.756073892,NA
"Nubp2",-0.540997834,NA
"Dusp10",0.937294652,NA
"Usp53",-0.762768655,NA
"Htatip2",0.970839074,NA
"Dnajc28",-0.524524459,NA
"Zfp597",-0.534870276,NA
"Tbc1d2",-1.119595281,NA
"Trub2",0.972886304,NA
"Heca",-0.583403339,NA
"Ptger4",1.19975982,NA
"Dag1",-0.542503211,NA
"Phtf2",-0.692699695,NA
"Maob",-0.628866799,NA
"Pclaf",1.315011189,NA
"Ints13",-0.472887032,NA
"Trim7",0.834578124,NA
"Cdh18",1.084320486,NA
"Pvr",0.645842486,NA
"C3ar1",0.861244405,NA
"Gstm2",1.496486244,NA
"Zfhx2",-1.12956684,NA
"Tex264",0.443328081,NA
"Hlcs",0.888553634,NA
"Gm11992",-1.781081263,NA
"Lrit1",-1.122680657,NA
"Arhgap11a",1.307744183,NA
"Elovl6",1.082465375,NA
"Pklr",1.396563535,NA
"Rbbp8",0.798718407,NA
"Ccnb1",1.393615328,NA
"Sox5",-1.256140823,NA
"Bbox1",-0.363091623,NA
"Tspo",0.539454767,NA
"Gpr155",-0.809874214,NA
"Oasl1",0.760473895,NA
"Rhod",0.698681566,NA
"S100a10",0.83010836,NA
"2010003K11Rik",1.337409323,NA
"Tent2",-0.392166017,NA
"Cyp2c37",-1.436407424,NA
"Ehbp1",-0.643473125,NA
"Kdm7a",-0.779580871,NA
"Stk40",0.648374768,NA
"Pla2g6",0.753805457,NA
"Jph1",-1.452002806,NA
"Atpaf2",-0.9961656,NA
"Nrep",-1.050102945,NA
"Onecut1",-1.107062379,NA
"Lrit2",-1.114770939,NA
"Ccdc141",-0.858843768,NA
"Foxo1",-0.393334042,NA
"Phlpp1",-0.488076552,NA
"Snhg11",1.968118642,NA
"P2ry4",-0.943524256,NA
"Slc16a13",0.925222046,NA
"E130308A19Rik",-0.636120881,NA
"S1pr1",-0.49383976,NA
"Dcaf12l1",1.017179225,NA
"Rtn4rl1",0.6049377,NA
"Sowahb",0.611657663,NA
"Cenpe",1.538957369,NA
"Epcam",1.31875807,NA
"Hcar2",1.53694983,NA
"Lrtm1",-1.071386738,NA
"Adra1a",-0.701918629,NA
"Paip2b",-0.411318816,NA
"C2cd4c",1.474745204,NA
"Onecut2",-0.667167712,NA
"Stard5",-0.51569256,NA
"Lrrc8d",-1.442836398,NA
"Plaur",1.07114115,NA
"Rbp1",0.911362042,NA
"Yod1",-0.704761934,NA
"Tifa",-1.227263644,NA
"Cystm1",1.227124146,NA
"Cldn12",-0.927813652,NA
"Mpeg1",1.515573177,NA
"Ckap4",1.018882044,NA
"Atxn1",-0.977974681,NA
"Tshz1",-0.676958175,NA
"Spsb4",0.995444122,NA
"Spata2",0.589645722,NA
"A2ml1",1.107731734,NA
"Odf3b",-1.406315382,NA
"Rnf152",-1.783331004,NA
"Cldn4",1.154599022,NA
"Atg16l2",0.939691308,NA
"Sned1",-0.831504858,NA
"Tmem229a",1.250275785,NA
"4632415L05Rik",-1.220427398,NA
"Col6a3",0.975032844,NA
"Dip2c",-0.350258914,NA
"Mlec",0.555451104,NA
"Sephs2",-0.739711201,NA
"Ccr2",1.199790236,NA
"C5ar1",0.970282851,NA
"Syt12",1.480325585,NA
"Zfp2",-0.992780546,NA
"Rd3",-1.354871475,NA
"Krt8",0.905015155,NA
"Dtx3l",-0.670237905,NA
"Tsku",1.234341878,NA
"Tmsb4x",0.656085261,NA
"Sertad2",-1.203578928,NA
"H2afx",0.783706207,NA
"Grem2",-0.832568578,NA
"Ftl1",1.213806212,NA
"Tmem125",-0.716158576,NA
"Zfp940",-1.158575549,NA
"Sgms2",-0.872794123,NA
"Camk2n2",1.018315053,NA
"Eml5",-0.881520519,NA
"Pcdhb9",1.439571945,NA
"Ywhag",0.538395495,NA
"Cd14",2.153014736,NA
"Meioc",-0.800201451,NA
"Lrrc3",-0.681973118,NA
"Spats2",0.881991622,NA
"Gnpda1",-0.78486763,NA
"Tmem106c",0.687529308,NA
"Slc22a30",-0.700869746,NA
"Sae1",0.553696084,NA
"Ptprt",-1.300318401,NA
"Gas5",-1.192495915,NA
"Hunk",1.326860683,NA
"Nebl",2.158531755,NA
"Slc39a8",-0.923158665,NA
"Ndst1",-0.84616308,NA
"Sirt5",0.692012994,NA
"Iigp1",-0.770077763,NA
"Ceacam2",-0.727644403,NA
"Set",-0.286337925,NA
"Lrtm2",0.677221245,NA
"Zfp101",-0.821278362,NA
"Timd4",-1.482004046,NA
"Mettl4",-0.631237494,NA
"Paqr3",-0.719303234,NA
"Ces2a",0.940328759,NA
"Fez2",0.538226171,NA
"B4galt6",1.595739911,NA
"Med12l",1.188665614,NA
"Ptafr",0.941100033,NA
"Tug1",-0.709356109,NA
"Them6",0.818285064,NA
"Retsat",-0.602877317,NA
"Cfhr1",-0.717609136,NA
"Fam47e",-0.925984393,NA
"Ero1lb",-1.024019989,NA
"Ces1g",-1.080065462,NA
"Nat8f1",-1.223850967,NA
"Ugt2b37",1.255791465,NA
"Zfp595",-0.977709463,NA
"Gsta2",1.384174087,NA
"Zfp85",-0.99022267,NA
"Tubb2a",1.840549652,NA
"Rnf169",-0.595905106,NA
"Nap1l1",0.503661265,NA
"Slc10a5",-1.189988209,NA
"Arhgef12",-0.704724194,NA
"Kcng2",0.887767466,NA
"Kif13b",-1.028120844,NA
"Serpinb6a",1.044077614,NA
"BC002059",-1.020956142,NA
"Pyroxd2",1.147032093,NA
"H2-Eb1",1.03020274,NA
"Marf1",-0.57986475,NA
"Ipmk",-0.545785289,NA
"Cyp3a59",1.266948748,NA
"Stx17",-0.599107548,NA
"Zfp229",-0.824469537,NA
"Akap6",0.997884407,NA
"Nectin2",0.671421093,NA
"Acat3",-0.629130436,NA
"Cyp2c67",-0.906848616,NA
"4833420G17Rik",-0.526976161,NA
"Acadm",-0.441891704,NA
"Mapk3",0.665379124,NA
"Ldha",-0.52684698,NA
"Serpina11",-0.687376527,NA
"Syne2",-0.677952846,NA
"Zkscan7",-0.641179555,NA
"Rnf217",-0.72674018,NA
"ATP8",-0.737258822,NA
"COX3",-0.5037933,NA
"ND4",-0.539254359,NA
"CYTB",-0.831729754,NA
"Snord15b",-1.19153583,NA
"Cyp4a10",-0.738723653,NA
"Klk1b4",1.830609983,NA
"Insyn1",3.05921707,NA
"Zfp563",-0.674933406,NA
"Klra3",1.036604674,NA
"Sptbn2",-0.570108737,NA
"Zfp991",1.170944172,NA
"Zfp760",-1.235179654,NA
"Cenpm",-0.589270293,NA
"Col8a1",1.249946226,NA
"Gstm6",1.137021658,NA
"Zfp874a",-0.645877618,NA
"Rdh16",0.791205045,NA
"Spdl1",1.713007121,NA
"Gm4788",-0.653086186,NA
"Zfp992",1.175097285,NA
"Jund",0.574524735,NA
"Cecr2",-0.816295372,NA
"Sms",0.971834006,NA
"Mcc",-0.706539691,NA
"Ppp1r3e",-0.996476526,NA
"Ear2",1.328081015,NA
"Adam1a",-1.491335059,NA
"4930522L14Rik",-0.960486324,NA
"H2-Ab1",1.031066903,NA
"Faap20",0.7353986,NA
"Ttpa",-0.618852008,NA
"Nlrc5",-1.001076434,NA
"Gm10639",0.382355442,NA
"Fam83c",2.193390351,NA
"BC029722",0.842763741,NA
"LOC100038947",1.660869587,NA
"Atxn7l3b",-0.410307271,NA
"Arrdc3",-1.218739405,NA
"Fign",-0.626365396,NA
"Urad",-0.959428744,NA
"Gpx4",1.323266559,NA
"Sox4",1.229116129,NA
"Airn",1.163943856,NA
"Ddi2",-0.566341557,NA
"AU022252",-0.501203008,NA
"Ces1b",-0.560411693,NA
"LOC102632463",-0.80143229,NA
"Slc8a3",1.190793753,NA
"Gm7609",1.138230736,NA
"Utp14b",-0.810265041,NA
"Tmsb10",1.229235007,NA
"Mir22hg",-0.720664268,NA
"Kantr",-0.932748951,NA
"Hectd2os",-1.281919167,NA
"Fcor",0.554869825,NA
"Usp49",-0.714895596,NA
"Hspa1b",0.94547424,NA
"Gcnt4",-1.005446053,NA
"Gbp11",-0.96695101,NA
"Neat1",1.183150288,NA
"Gm21885",1.355838112,NA
"Zfp955a",-0.590836614,NA
"Zfp97",-0.803717995,NA
"Zfp960",-0.826055403,NA
"Zfp433",-0.944605841,NA
"Snhg18",0.856663278,NA
"B230354K17Rik",-0.737378749,NA
"Gm10516",-1.04437325,NA
"D930016D06Rik",-0.922575284,NA
"3110045C21Rik",-1.520906635,NA
"Dleu2",-1.026132892,NA
"4933404O12Rik",-0.932507878,NA
"A330074K22Rik",1.272071556,NA
"Zfp953",-0.611461174,NA
"Snrpn",1.030522595,NA
"Naaladl2",-0.824085702,NA
"AI506816",1.864114729,NA
"Zfp862-ps",-0.552890032,NA
"Gm33989",-0.656796402,NA
"4833411C07Rik",-0.803885414,NA
"Klkb1",-0.489051234,NA
"Igip",-0.571089686,NA
"Gm20300",-0.65988235,NA
"A830010M20Rik",-0.789206079,NA
"Btbd8",-0.789206079,NA
"Gm3776",1.122051558,NA
"Gm2436",-0.327628267,NA
"A130077B15Rik",1.198230421,NA
"Gm32687",-1.044333734,NA
"4930404H11Rik",-0.869528768,NA
"Scamp4",0.94425009,NA
"Gm19510",1.474049979,NA
