EntrezID,log2FC HFD,log2FC XN
Sertad2,-1.203578928,NA
Suox,NA,-0.864361875
H2afx,0.783706207,NA
Grem2,-0.832568578,NA
Lgals3,1.587268053,NA
Sprr1a,3.704352262,2.013871102
Mmp13,1.180256415,2.749091269
Ftl1,1.213806212,NA
Tmem125,-0.716158576,NA
Zfp940,-1.158575549,NA
Sgms2,-0.872794123,NA
Camk2n2,1.018315053,NA
Eml5,-0.881520519,NA
Fam83a,4.738646927,1.877260978
Pcdhb9,1.439571945,NA
Ywhag,0.538395495,NA
Cd14,2.153014736,NA
Meioc,-0.800201451,NA
Lrrc3,-0.681973118,NA
Spats2,0.881991622,NA
Gnpda1,-0.78486763,NA
Hbb-b1,NA,-0.908922056
Hbb-bs,NA,-0.908922056
Cx3cr1,1.469324258,NA
Tmem106c,0.687529308,NA
Mogat2,1.947141901,2.4456116
Cyp2j5,-0.666747562,-0.577671426
Slc22a30,-0.700869746,NA
Jun,1.45822101,NA
Repin1,NA,-1.26449388
Sae1,0.553696084,NA
Gas1,NA,-1.096862341
Ptprt,-1.300318401,NA
Raet1e,1.792082479,2.175172743
Gas5,-1.192495915,NA
Hunk,1.326860683,NA
Nebl,2.158531755,NA
Slc39a8,-0.923158665,NA
Ndst1,-0.84616308,NA
Sirt5,0.692012994,NA
Iigp1,-0.770077763,NA
Tprkb,NA,-1.016801002
Ceacam2,-0.727644403,-0.691311679
Sytl5,NA,0.679859212
Ugt1a6a,NA,1.169621261
Set,-0.286337925,NA
Lrtm2,0.677221245,NA
Zfp101,-0.821278362,NA
Ntrk2,NA,1.98688814
Adh7,NA,-0.939505631
Timd4,-1.482004046,NA
Mettl4,-0.631237494,NA
Paqr3,-0.719303234,NA
Ces2a,0.940328759,NA
Cyp3a11,2.405051351,1.631224368
Fez2,0.538226171,NA
B4galt6,1.595739911,NA
Cebpg,NA,1.677616415
Lig1,NA,1.208161104
Med12l,1.188665614,NA
Ptafr,0.941100033,NA
Tug1,-0.709356109,NA
Chd9,0.909957487,0.875474644
Them6,0.818285064,NA
Retsat,-0.602877317,NA
Capg,1.460814673,1.549622965
Cfhr1,-0.717609136,NA
Fam47e,-0.925984393,NA
Ero1lb,-1.024019989,NA
Ces1g,-1.080065462,NA
Nat8f1,-1.223850967,NA
Aadat,-0.920053753,NA
Ugt2b37,1.255791465,1.318012759
Saa2,NA,2.580371361
Zfp595,-0.977709463,NA
Camk2b,NA,1.570666318
Gsta2,1.384174087,NA
Gstm1,1.588450061,1.165621151
Zfp85,-0.99022267,NA
Tubb2a,1.840549652,NA
Rnf169,-0.595905106,NA
Nap1l1,0.503661265,NA
Slc10a5,-1.189988209,NA
Arhgef12,-0.704724194,NA
Kcng2,0.887767466,NA
Kif13b,-1.028120844,NA
Serpinb6a,1.044077614,NA
BC002059,-1.020956142,NA
Pyroxd2,1.147032093,NA
H2-Eb1,1.03020274,NA
Marf1,-0.57986475,NA
Plekhh1,NA,1.007018108
Ipmk,-0.545785289,NA
Cyp3a59,1.266948748,NA
Stx17,-0.599107548,NA
Orm2,2.398569632,2.240053945
Zfp229,-0.824469537,NA
Akap6,0.997884407,NA
Iah1,-0.681154329,-0.729904083
Ces3b,NA,-0.986825814
Nectin2,0.671421093,NA
LOC100862446,1.075720404,NA
Acat3,-0.629130436,NA
Cyp2c67,-0.906848616,NA
4833420G17Rik,-0.526976161,NA
Acadm,-0.441891704,NA
Nrg1,2.025356242,1.305875949
Mapk3,0.665379124,NA
Clip2,1.745200235,1.518746908
Ldha,-0.52684698,NA
Serpina11,-0.687376527,NA
Syne2,-0.677952846,NA
Zkscan7,-0.641179555,NA
Jazf1,NA,1.80493119
Rnf217,-0.72674018,NA
4430402I18Rik,NA,-1.309758441
Hhip,NA,-1.499827867
ATP8,-0.737258822,NA
COX3,-0.5037933,NA
ND3,-1.138326811,-0.993257608
ND4,-0.539254359,-0.613078981
CYTB,-0.831729754,-0.728005119
Snord15b,-1.19153583,NA
Cyp4a10,-0.738723653,NA
Wdr6,NA,0.831552173
Klk1b4,1.830609983,NA
Insyn1,3.05921707,NA
Zfp810,1.046267383,NA
Slc22a7,NA,-1.807666045
Zfp563,-0.674933406,NA
Klra3,1.036604674,NA
Sptbn2,-0.570108737,NA
Zfp991,1.170944172,NA
Zfp760,-1.235179654,NA
Cenpm,-0.589270293,NA
Col8a1,1.249946226,NA
Lgals1,2.584710478,1.559095469
Gstm6,1.137021658,NA
Zfp874a,-0.645877618,NA
Rdh16,0.791205045,NA
Spdl1,1.713007121,NA
Hba-a2,NA,-0.868028432
Hba-a1,NA,-0.882566871
Prok1,NA,-2.421185214
Gm4788,-0.653086186,NA
Zfp992,1.175097285,NA
Lrrc8b,1.551799588,NA
Etnk2,-1.797910873,-2.237171747
5830473C10Rik,-0.677443454,-0.885701099
Sult2a6,NA,0.406111308
Jund,0.574524735,NA
Cecr2,-0.816295372,NA
Gm4952,-1.191919246,-0.855565152
Sms,0.971834006,NA
Csf2rb2,NA,1.516318044
Mcc,-0.706539691,NA
Ppp1r3e,-0.996476526,NA
Ear2,1.328081015,NA
Adam1a,-1.491335059,NA
Tmem254a,-0.952496537,-1.548848039
Tmem254c,-0.975116087,-1.497604849
4930522L14Rik,-0.960486324,NA
Bhlhb9,1.330576815,1.487268571
H2-Ab1,1.031066903,NA
Ifi204,NA,-1.289056845
Ifi213,NA,-1.296622954
Gm4951,-0.822158905,-0.844883146
Wdfy1,NA,1.302411959
Faap20,0.7353986,NA
Hbb-bt,NA,-1.10548836
Ttpa,-0.618852008,NA
Saa1,NA,1.765630992
Nlrc5,-1.001076434,NA
Gm10639,0.382355442,NA
Gsta1,0.566965299,1.660665284
Cib3,2.378212785,1.814755612
Ceacam1,-0.794487538,NA
Sult2a4,NA,1.105213336
Fam83c,2.193390351,NA
BC029722,0.842763741,NA
Sirpb1c,1.660869587,NA
Atxn7l3b,-0.410307271,NA
Arrdc3,-1.218739405,NA
Gas2l3,NA,1.839871882
Fign,-0.626365396,NA
Urad,-0.959428744,NA
Gpx4,1.323266559,NA
Sox4,1.229116129,NA
Klhdc7a,NA,-0.245648158
Airn,1.163943856,NA
Raet1a,1.531944033,1.99102683
Raet1b,1.531944033,1.99102683
Raet1c,1.531944033,1.99102683
Raet1d,1.531944033,1.99102683
Ddi2,-0.566341557,NA
AU022252,-0.501203008,NA
Ces1b,-0.560411693,NA
LOC102632463,-0.80143229,NA
Slc8a3,1.190793753,NA
Clec7a,NA,1.315967309
Gm7609,1.138230736,NA
Utp14b,-0.810265041,NA
Tmsb10,1.229235007,NA
Slc48a1,0.93390587,0.726783603
Mir22hg,-0.720664268,NA
Ctcflos,NA,-1.22958786
Kantr,-0.932748951,NA
Hectd2os,-1.281919167,-1.429182554
Fcor,0.554869825,NA
Rbm12,NA,-0.268507046
Usp49,-0.714895596,NA
Ugt1a7c,1.29156339,-1.21962134
Ugt1a2,NA,1.385748337
Mndal,-1.525145988,-1.453640276
Hspa1b,0.94547424,NA
1810064F22Rik,1.711562331,2.379752756
Smim13,-0.714099598,-0.725641449
Gcnt4,-1.005446053,NA
Catspere2,NA,3.000615971
Gbp11,-0.96695101,NA
Neat1,1.183150288,NA
Lrch4,NA,-1.218244783
Gm16867,-1.873801418,-2.669793501
Gm21885,1.355838112,NA
Sult2a7,-0.954041394,-1.627161466
Zfp955a,-0.590836614,NA
BC147527,NA,1.134329008
Entpd4,NA,-0.730300727
Zfp97,-0.803717995,NA
Smim22,-0.750724056,1.395093498
Zfp960,-0.826055403,NA
Zfp433,-0.944605841,NA
Snhg18,0.856663278,NA
B230354K17Rik,-0.737378749,NA
Gm10516,-1.04437325,NA
1700028E10Rik,NA,-1.710290598
Gm3704,NA,-1.710290598
D930016D06Rik,-0.922575284,NA
Gm17634,NA,-1.256751057
3110045C21Rik,-1.520906635,NA
Dleu2,-1.026132892,NA
9030616G12Rik,-1.658490836,-1.798889746
4933404O12Rik,-0.932507878,NA
A330074K22Rik,1.272071556,NA
Zfp953,-0.611461174,NA
0610031O16Rik,-0.791552521,-0.968640446
Ms4a4a,1.05614443,0.687406676
Mug-ps1,-1.101967234,-1.222584966
Gm5524,-1.178644025,-1.018864593
Snrpn,1.030522595,NA
Naaladl2,-0.824085702,NA
Rhbg,1.291110522,1.290417037
AI506816,1.864114729,NA
Zfp862-ps,-0.552890032,NA
Gm33989,-0.656796402,NA
4833411C07Rik,-0.803885414,NA
AI314278,1.889138713,1.01132342
Klkb1,-0.489051234,NA
Igip,-0.571089686,NA
Gm20300,-0.65988235,NA
A830010M20Rik,-0.789206079,NA
Btbd8,-0.789206079,NA
Gm3776,1.122051558,NA
Gm2436,-0.327628267,NA
A130077B15Rik,1.198230421,NA
Gm30122,NA,-1.022560536
Gm36283,NA,1.712288188
Gm32687,-1.044333734,NA
4930404H11Rik,-0.869528768,NA
Scamp4,0.94425009,NA
Gm19510,1.474049979,NA
Gm3435,NA,-1.770809669
